CID,SMILES,PAINS_A,PAINS_B,PAINS_C,AllAssays_Active,AllAssays_Total,LuciferaseAssays_Active,LuciferaseAssays_Total,BetaLactamaseAssays_Active,BetaLactamaseAssays_Total,FluorescenceAssays_Active,FluorescenceAssays_Total
9550215,CCN(CC)C1=CC=C(C=C1)NC(=O)CN2CCN(CC2)S(=O)(=O)C3=C(C=CC(=C3)Cl)OC,anil_di_alk_A(478),   ,   ,16,694,1,115,0,14,3,403
9550459,CCC1=NC2=C(C=NN2C3=CC=C(C=C3)F)C(=O)N1C4=CC=C(C=C4)N5CCC(CC5)C,anil_di_alk_A(478),   ,   ,10,692,3,111,0,14,1,406
9550740,CCN1CCN(CC1)C2=CC=C(C=C2)NC(=O)CCC3=C(N4C(=C(C(=N4)C)C5=CC=CC=C5)N=C3C)C,anil_di_alk_A(478),   ,   ,27,697,4,112,1,14,10,408
9551879,CC(C(=O)NC1=CC=C(C=C1)N2CCOCC2)NS(=O)(=O)C3=CC=C(C=C3)NC(=O)C,anil_di_alk_A(478),   ,   ,0,672,0,110,0,14,0,393
9552022,C1COCCN1C2=CC=C(C=C2)NC(=O)CSC3=NC4=C(O3)C=CC(=C4)Cl.Cl,anil_di_alk_A(478),   ,   ,7,632,4,103,0,14,1,371
9552046,CCOC1=CC(=C(C=C1N2CCOCC2)OCC)NC(=O)COC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C,anil_di_alk_A(478),   ,   ,3,671,0,106,0,14,0,394
9586322,CCN(CC)C1=CC=C(C=C1)NC(=NC2=NC(=O)C=C(N2)C(F)(F)F)N,anil_di_alk_A(478),   ,   ,5,642,1,109,0,11,2,378
9587248,CON=C(C1=NON=C1N)N2CCN(CC2)C3=C(C=C(C=C3)[N+](=O)[O-])Cl,anil_di_alk_A(478),   ,   ,3,660,2,106,0,14,0,384
9592145,CC(=NNC(=O)C1=CC=CC=C1F)CC(=O)NC2=CC=C(C=C2)N(C)C,anil_di_alk_A(478),   ,   ,4,460,3,89,0,7,0,254
9592146,CC(=NNC(=O)C1=C(C=C(C=C1)Cl)Cl)CC(=O)NC2=CC=C(C=C2)N(C)C,anil_di_alk_A(478),   ,   ,3,490,1,90,0,7,2,284
