CID,SMILES,PAINS_A,PAINS_B,PAINS_C,AllAssays_Active,AllAssays_Total,LuciferaseAssays_Active,LuciferaseAssays_Total,BetaLactamaseAssays_Active,BetaLactamaseAssays_Total,FluorescenceAssays_Active,FluorescenceAssays_Total
1017517,CN1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC=C(O3)Br,anil_di_alk_A(478), , ,18,514,10,88,2,11,8,305
1017532,CC1=CC=C(C=C1)C(=O)N2CCN(CC2)C3=CC=C(C=C3)NC(=S)NC(=O)C4=CC=CS4,anil_di_alk_A(478), , ,10,631,5,108,0,11,2,372
1017534,CC1=CC=C(C=C1)C(=O)N2CCN(CC2)C3=CC=C(C=C3)NC(=O)C4=CC=CS4,anil_di_alk_A(478), , ,3,485,2,86,0,7,0,281
1017707,C1COCCN1C2=CC=C(C=C2)NC(=O)C3=C(C=CC(=C3)N4C=NN=C4)Cl,anil_di_alk_A(478), , ,2,486,0,85,0,7,1,279
1018429,CC1=CC=CC(=C1)C(=O)NC(=S)NC2=CC=C(C=C2)N3CCOCC3,anil_di_alk_A(478), , ,8,644,3,107,0,13,3,381
1047584,C1COCCN1C2=C(C=C(C=C2)NC(=S)NC(=O)C3=CC=CS3)Cl,anil_di_alk_A(478), , ,16,629,6,105,0,11,6,372
1048092,CC(C)CC(=O)NC(=S)NC1=CC(=C(C=C1)N2CCOCC2)Cl,anil_di_alk_A(478), , ,2,620,1,105,0,11,0,367
1048156,COC1=CC=C(C=C1)OCC(=O)NC(=S)NC2=CC(=C(C=C2)N3CCOCC3)Cl,anil_di_alk_A(478),   ,   ,9,633,0,97,0,14,8,370
1048329,C1COCCN1C2=CC=C(C=C2)NC(=S)NC(=O)C3=C(C(=CC=C3)Cl)Cl,anil_di_alk_A(478), , ,2,460,2,87,0,7,0,255
1048330,C1CCN(CC1)C2=CC=C(C=C2)NC(=S)NC(=O)C3=CC4=C(C=C3)OCCO4,anil_di_alk_A(478), , ,14,649,6,105,0,13,4,385
1048420,COC1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)N3CCN(CC3)CC4=CC=CC=C4,anil_di_alk_A(478), , ,1,602,0,106,0,10,0,352
1048461,CC(C)OC1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)N3CCN(CC3)C(=O)C4=CC=CO4,anil_di_alk_A(478),   ,   ,3,495,0,88,0,7,1,285
1048481,CS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC4=CC=CC=C4O3,anil_di_alk_A(478),   ,   ,2,489,2,85,0,7,0,286
1055954,CC(C)C(=O)N1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC=CS3,anil_di_alk_A(478),   ,   ,2,675,0,109,0,14,1,400
1056093,CC1=CC=CC=C1C(=O)N2CCN(CC2)C3=CC=C(C=C3)NC(=O)C4=CC=C(C=C4)OC,anil_di_alk_A(478), , ,8,497,3,92,0,7,3,287
1056096,CC1=CC=CC=C1C(=O)N2CCN(CC2)C3=CC=C(C=C3)NC(=O)CC4=CC=CC=C4,anil_di_alk_A(478),   ,   ,1,486,1,87,0,7,0,281
1056102,CC1=CC=CC=C1C(=O)N2CCN(CC2)C3=CC=C(C=C3)NC(=O)C4=CC=CO4,anil_di_alk_A(478), , ,0,485,0,87,0,7,0,284
1069413,CC1=CC(=C(C(=C1)C)S(=O)(=O)NC2=CC=C(C=C2)N3CCOCC3)C,anil_di_alk_A(478), , ,1,565,0,94,0,10,0,339
1072935,C1COCCN1C2=CC=C(C=C2)NC(=O)NC3=CC4=NSN=C4C=C3,anil_di_alk_A(478), , ,5,619,0,105,0,11,4,372
1080131,CC1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)N3C(=O)CCC3=O)N4CCOCC4,anil_di_alk_A(478), , ,2,623,0,104,0,11,1,371
1080132,CC1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)N3C(=O)C=CC3=O)N4CCOCC4,anil_di_alk_A(478), , ,66,589,12,99,0,10,29,342
1080143,CC1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)NC(=O)CCC(=O)O)N3CCCCC3,anil_di_alk_A(478), , ,5,700,0,116,0,14,3,412
1083046,CCC1=NC(=NN1)SCC(=O)NC2=CC=C(C=C2)N(C)C,anil_di_alk_A(478), , ,11,449,5,82,0,5,5,263
1083050,CN(C)C1=CC=C(C=C1)NC(=O)CSC2=NNC(=N2)C3=CC=CO3,anil_di_alk_A(478),   ,   ,2,621,0,102,0,11,0,370
1083051,CN(C)C1=CC=C(C=C1)NC(=O)CSC2=NNC(=N2)C3=CC=NC=C3,anil_di_alk_A(478), , ,0,275,0,45,0,2,0,157
1084037,CC1=NC2=C(N1C)C=CC(=C2)NC(=O)NC3=CC=C(C=C3)N4CCOCC4,anil_di_alk_A(478),   ,   ,5,775,1,125,0,24,2,461
1085986,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=C(C(=CC=C3)Cl)Cl,anil_di_alk_A(478), , ,0,491,0,88,0,7,0,286
1086023,CC1=CC=C(C=C1)C(=O)N2CCN(CC2)C3=CC=C(C=C3)NC(=O)C4=C(N=CC=C4)Cl,anil_di_alk_A(478), , ,2,487,0,87,0,7,2,283
1086029,CC1=CC=CC=C1C(=O)N2CCN(CC2)C3=CC=C(C=C3)NC(=O)C4=C(N=CC=C4)Cl,anil_di_alk_A(478), , ,2,622,0,103,0,11,2,369
1086030,CC1=CC=CC=C1C(=O)N2CCN(CC2)C3=CC=C(C=C3)NC(=O)C4=CN=CC=C4,anil_di_alk_A(478),   ,   ,3,620,0,106,0,11,0,368
1086050,CN1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=C(C4=CC=CC=C4S3)Cl,anil_di_alk_A(478),   ,   ,24,653,15,117,2,15,5,382
1086052,CN1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC(=C(C=C3)OC)OC,anil_di_alk_A(478), , ,9,486,5,88,2,11,4,290
1086059,CN1CCN(CC1)C2=CC=C(C=C2)NC(=O)COC3=CC=CC=C3Cl,anil_di_alk_A(478),   ,   ,19,784,4,124,2,29,11,466
1086061,CN1CCN(CC1)C2=CC=C(C=C2)NC(=O)COC3=CC4=CC=CC=C4C=C3,anil_di_alk_A(478), , ,7,492,1,88,0,7,3,286
1087157,CS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC(=O)C(C3=CC=CC=C3)C4=CC=CC=C4,anil_di_alk_A(478),   ,   ,3,664,0,106,0,14,2,396
1087161,CS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC=CC=C3,anil_di_alk_A(478), , ,6,609,6,107,0,10,0,357
1087162,CC1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)N3CCN(CC3)S(=O)(=O)C,anil_di_alk_A(478), , ,1,669,0,109,0,14,1,394
1087186,CS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC(=O)COC3=CC=CC=C3,anil_di_alk_A(478), , ,0,605,0,108,0,10,0,355
1087187,CC1=CC=C(C=C1)OCC(=O)NC2=CC=C(C=C2)N3CCN(CC3)S(=O)(=O)C,anil_di_alk_A(478), , ,1,618,0,103,0,11,1,368
1087188,CCC1=CC=C(C=C1)OCC(=O)NC2=CC=C(C=C2)N3CCN(CC3)S(=O)(=O)C,anil_di_alk_A(478), , ,1,620,0,103,0,11,0,366
1087189,CC1=CC(=C(C=C1)OCC(=O)NC2=CC=C(C=C2)N3CCN(CC3)S(=O)(=O)C)C,anil_di_alk_A(478), , ,0,632,0,109,0,11,0,372
1087190,CC1=C(C=C(C=C1)OCC(=O)NC2=CC=C(C=C2)N3CCN(CC3)S(=O)(=O)C)C,anil_di_alk_A(478), , ,1,618,1,103,0,11,0,368
1087699,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)NCC3=CC=CC4=CC=CC=C43,anil_di_alk_A(478), , ,16,498,1,89,0,7,9,291
1088360,CC(C)C(=O)N1CCN(CC1)C2=C(C=C(C=C2)NC(=O)C3=CC=CS3)Cl,anil_di_alk_A(478), , ,8,615,3,101,0,11,1,365
1088385,COC1=C(C(=CC=C1)OC)C(=O)NC2=CC=C(C=C2)N3CCN(CC3)C(=O)C4=CC=CO4,anil_di_alk_A(478), , ,0,485,0,87,0,7,0,282
1088818,C1CN(CCN1C2=CC=C(C=C2)NC(=O)COC3=CC=C(C=C3)Cl)C(=O)C4=CC=CO4,anil_di_alk_A(478), , ,18,690,5,115,0,14,7,400
1088819,CC1=CC(=CC=C1)OCC(=O)NC2=CC=C(C=C2)N3CCN(CC3)C(=O)C4=CC=CO4,anil_di_alk_A(478), , ,21,668,6,113,0,14,10,392
1088821,CC1=CC(=C(C=C1)OCC(=O)NC2=CC=C(C=C2)N3CCN(CC3)C(=O)C4=CC=CO4)C,anil_di_alk_A(478), , ,15,498,6,91,0,7,5,291
1088822,C1CN(CCN1C2=CC=C(C=C2)NC(=O)C3=CC=CO3)C(=O)C4=CC=CO4,anil_di_alk_A(478), , ,1,636,1,110,0,11,0,375
1088823,C1CN(CCN1C2=CC=C(C=C2)NC(=O)C3=CC=CC=C3)C(=O)C4=CC=CO4,anil_di_alk_A(478), , ,3,646,1,111,0,11,1,381
1088831,C1CN(CCN1C2=CC=C(C=C2)NC(=O)C3=C(N=CC=C3)Cl)C(=O)C4=CC=CO4,anil_di_alk_A(478),   ,   ,0,607,0,102,0,11,0,360
1088834,C1CN(CCN1C2=CC=C(C=C2)NC(=O)C3=CC=CO3)C(=O)C4=CC=CS4,anil_di_alk_A(478), , ,0,489,0,86,0,7,0,284
1088836,CC(C)(C)C(=O)NC1=CC=C(C=C1)N2CCN(CC2)C(=O)C3=CC=CS3,anil_di_alk_A(478),   ,   ,1,207,0,35,0,2,1,114
1088837,C1CN(CCN1C2=CC=C(C=C2)NC(=O)COC3=CC=CC=C3)C(=O)C4=CC=CS4,anil_di_alk_A(478), , ,4,614,0,102,0,11,2,364
1088840,C1CN(CCN1C2=CC=C(C=C2)NC(=O)C3=CC=C(C=C3)F)C(=O)C4=CC=CS4,anil_di_alk_A(478), , ,2,489,1,87,0,7,0,287
1088841,COC1=CC=CC(=C1)C(=O)NC2=CC=C(C=C2)N3CCN(CC3)C(=O)C4=CC=CS4,anil_di_alk_A(478), , ,19,500,11,94,0,7,3,287
1088845,CC1=CC(=C(C=C1)C(=O)NC2=CC=C(C=C2)N3CCN(CC3)C(=O)C4=CC=CS4)Cl,anil_di_alk_A(478), , ,7,495,1,89,0,8,3,288
1090053,CC1=CC=CC=C1C(=O)N2CCN(CC2)C3=CC=C(C=C3)NC(=O)C4=CC5=C(C=C4)OCO5,anil_di_alk_A(478), , ,33,647,16,117,2,14,11,382
1090201,CCN1CCN(CC1)C2=C(C=C(C=C2)NC(=O)C3=CC=CC=C3F)Cl,anil_di_alk_A(478), , ,10,636,7,110,0,11,1,375
1090203,CCN1CCN(CC1)C2=C(C=C(C=C2)NC(=O)C3=CC(=CC=C3)F)Cl,anil_di_alk_A(478), , ,18,630,12,112,0,11,3,369
1090204,CCN1CCN(CC1)C2=C(C=C(C=C2)NC(=O)C3=CC=C(C=C3)F)Cl,anil_di_alk_A(478), , ,4,621,3,104,0,11,0,371
1090208,CCN1CCN(CC1)C2=C(C=C(C=C2)NC(=O)C3=C(C=C(C=C3)C#N)F)Cl,anil_di_alk_A(478), , ,2,635,0,110,0,11,1,375
1090344,CC1=CC=CC(=C1)C(=O)NC2=CC=C(C=C2)N3CCN(CC3)S(=O)(=O)C,anil_di_alk_A(478), , ,6,621,6,107,0,11,0,366
1090345,CCC(=O)N1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC=CC=C3,anil_di_alk_A(478), , ,2,629,1,105,0,11,0,373
1090350,CCCC(=O)N1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC=CS3,anil_di_alk_A(478), , ,4,633,1,110,0,11,3,376
1090353,CC1=C(C=C(C=C1)C(=O)NC2=CC=C(C=C2)N3CCN(CC3)S(=O)(=O)C)C,anil_di_alk_A(478),   ,   ,2,593,0,105,0,10,2,351
1090364,CC1=CC=CC(=C1)C(=O)NC2=CC=C(C=C2)N3CCN(CC3)C(=O)C4=CC=CO4,anil_di_alk_A(478), , ,1,494,0,89,0,7,0,286
1090369,CC1=CC(=CC(=C1)C(=O)NC2=CC=C(C=C2)N3CCN(CC3)S(=O)(=O)C)C,anil_di_alk_A(478), , ,0,629,0,104,0,11,0,373
1090689,C1CN(CCN1C2=C(C=C(C=C2)NC(=O)C3=NC=NN3)Cl)C(=O)C4=CC=CC=C4,anil_di_alk_A(478), , ,2,559,1,96,0,10,1,334
1090938,CC1=CC(=NC(=N1)SCC(=O)NC2=CC=C(C=C2)N3CCOCC3)C,anil_di_alk_A(478),   ,   ,4,792,0,123,0,25,2,474
1091586,CCC(=O)N1CCN(CC1)C2=CC=C(C=C2)NC(=O)COC3=C(C=C(C=C3)C)C,anil_di_alk_A(478), , ,2,491,1,91,0,7,0,283
1091587,CCC1=CC=C(C=C1)OCC(=O)NC2=CC=C(C=C2)N3CCN(CC3)C(=O)CC,anil_di_alk_A(478),   ,   ,4,487,1,89,0,7,2,283
1091801,CC(=O)NC1=NN=C(S1)SCC(=O)NC2=CC(=C(C=C2)N3CCOCC3)Cl,anil_di_alk_A(478), , ,2,560,1,91,0,10,0,338
1091839,C1COCCN1C2=CC=C(C=C2)NC3=NC(=NC4=CC=CC=C43)N5CCOCC5,anil_di_alk_A(478),   ,   ,6,487,2,89,1,7,1,283
1092653,CCN1CCN(CC1)C2=C(C=C(C=C2)NC(=O)C)Cl,anil_di_alk_A(478), , ,1,619,0,105,0,11,0,366
1100063,CC1=CC(=C(N1C2=CC=C(C=C2)N3CCOCC3)C)C=C(C#N)C(=O)NC,anil_di_alk_A(478),pyrrole_A(118), ,6,626,0,104,0,11,1,368
1101607,C1COCCN1C2=CC=C(C=C2)N=CC3=CC=C(O3)C4=CC=C(C=C4)Cl,anil_di_alk_A(478), , ,8,664,1,109,0,13,7,392
1101610,C1COCCN1C2=CC=C(C=C2)N=CC3=CC=C(O3)C4=C(C=C(C=C4)Cl)Cl,anil_di_alk_A(478), , ,9,639,0,107,0,11,8,379
1108465,C1COCCN1C2=CC=C(C=C2)NC(=O)C3=CC=CC4=C3C=CC=C4Br,anil_di_alk_A(478), , ,0,498,0,86,0,7,0,289
1114258,C1COCCN1C2=C(C=C(C=C2)NC(=O)C3=CC=CC=C3Cl)Cl,anil_di_alk_A(478), , ,6,619,4,104,0,11,2,366
1121652,C1CCN(C1)C2=CC=C(C=C2)NC(=O)C3=CC4=CC=CC=C4C=C3,anil_di_alk_A(478), , ,18,655,9,112,0,13,8,384
1128794,C1COCCN1C2=CC=C(C=C2)N=CC3=CC=C(O3)C4=CC(=CC=C4)Cl,anil_di_alk_A(478),   ,   ,12,612,2,95,0,13,9,373
1131221,CC(=O)NC1=CC=C(C=C1)N2CC3=CC=CC=C3C2,anil_di_alk_A(478), , ,4,510,0,89,0,7,1,297
1132243,C1CN(CCN1CC2=CC=CC=C2)C3=CC=C(C=C3)NC(=O)C4=CC=CO4,anil_di_alk_A(478),   ,   ,5,489,3,87,0,7,0,283
1132516,CC1=CC=CC=C1C(=O)NC2=CC=C(C=C2)N3CCN(CC3)C(=O)C,anil_di_alk_A(478), , ,2,488,1,87,0,7,0,283
1132524,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC(=C(C=C3)Cl)Cl,anil_di_alk_A(478), , ,0,487,0,88,0,7,0,284
1136384,C1COCCN1C2=C(C=C(C=C2)NC(=O)C3=CC4=C(C=C3)OCCO4)Cl,anil_di_alk_A(478), , ,6,624,3,108,0,11,2,369
1139262,COC1=C(C=C(C=C1)C(=O)NC(=S)NC2=CC=C(C=C2)N3CCOCC3)Cl,anil_di_alk_A(478), , ,11,484,2,86,0,7,5,281
1149496,C1CCN(C1)C2=C(C=C(C=C2)NC(=O)C3=CC4=C(C=C3)OCCO4)Cl,anil_di_alk_A(478),   ,   ,7,534,1,77,0,12,1,335
1154358,C1CN(CCN1C2=CC=C(C=C2)N)C(=O)C3=CC=CS3,anil_di_alk_A(478),anil_no_alk(40),   ,11,677,0,108,0,14,7,394
1160086,C1CCN(CC1)C2=C(C=C(C=C2)NC(=O)C3=CC4=C(C=C3)OCCO4)Cl,anil_di_alk_A(478),   ,   ,16,684,5,110,0,14,8,400
1164605,C1CCN(C1)C2=CC=C(C=C2)NC(=O)C3=C(C=CC(=C3)Cl)Cl,anil_di_alk_A(478),   ,   ,19,504,4,88,0,7,9,291
1164610,CCOC1=CC=CC(=C1)C(=O)NC2=CC=C(C=C2)N3CCCC3,anil_di_alk_A(478),   ,   ,9,494,3,88,0,7,5,286
1166289,COC1=CC=CC=C1C(=O)NC(=S)NC2=CC(=C(C=C2)N3CCOCC3)Cl,anil_di_alk_A(478),   ,   ,5,621,0,104,2,13,4,371
1181768,C1COCCN1C2=CC=C(C=C2)NC(=O)CN3C(=O)C4=CC=CC=C4C3=O,anil_di_alk_A(478),   ,   ,0,795,0,126,0,25,0,473
1184632,C1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC(=CN=C3)Br,anil_di_alk_A(478),   ,   ,21,785,17,136,0,25,3,452
1184710,C1CCN(CC1)C2=CC=C(C=C2)NC(=S)NC(=O)CC3=CC=CC=C3,anil_di_alk_A(478),   ,   ,9,646,2,105,0,14,2,382
1186038,CCOC1=CC=C(C=C1)C=CC(=O)NC2=CC=C(C=C2)N3CCOCC3,anil_di_alk_A(478),   ,   ,6,648,0,107,0,14,2,375
1187531,CC1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC=C(C=C4)N5CCOCC5,anil_di_alk_A(478),   ,   ,27,545,6,94,0,9,15,328
1188017,C1COCCN1C2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)Cl,anil_di_alk_A(478),   ,   ,32,678,3,110,0,14,24,402
1189450,C1COCCN1C2=CC=C(C=C2)NC3=NC=NC4=C3C=C(C=C4)Br,anil_di_alk_A(478),   ,   ,31,811,13,137,2,28,10,470
1190108,CC1=CC=CC(=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC=C(C=C4)N5CCOCC5,anil_di_alk_A(478),   ,   ,22,641,3,107,0,13,11,378
1190175,CCOC(=O)C1=CC2=C(C(=CN=C2C=C1)C(=O)OCC)NC3=CC=C(C=C3)N4CCOCC4,anil_di_alk_A(478),   ,   ,39,675,11,115,0,13,15,394
1190554,CCOC(=O)C1=CN=C2C=CC(=CC2=C1NC3=CC=C(C=C3)N4CCOCC4)C,anil_di_alk_A(478),   ,   ,40,711,3,111,0,14,26,420
1192524,CCOC1=CC=CC=C1OCC(=O)NC2=CC=C(C=C2)N3CCCCC3,anil_di_alk_A(478),   ,   ,5,773,1,123,0,25,3,461
1192545,CCOC(=O)C1=NC2=CC=CC=C2C(=N1)NC3=CC=C(C=C3)N4CCOCC4,anil_di_alk_A(478),   ,   ,1,491,0,85,0,7,0,288
1192546,CCOC(=O)C1=NC2=CC=CC=C2C(=N1)NC3=CC=C(C=C3)N4CCC(CC4)C,anil_di_alk_A(478),   ,   ,9,621,2,104,0,11,1,371
1193255,CC1=C(C2=C(N=CN=C2S1)NC3=CC=C(C=C3)N4CCOCC4)C5=CC=CC=C5,anil_di_alk_A(478),   ,   ,7,640,0,105,0,13,2,378
1194679,C1COCCN1C2=CC=C(C=C2)NC3=C4C(=CSC4=NC=N3)C5=CC=C(C=C5)F,anil_di_alk_A(478),   ,   ,11,667,2,114,0,14,1,384
1201004,CN(C)C1=CC=C(C=C1)NC2=CC(=NC=N2)Cl,anil_di_alk_A(478),   ,   ,5,488,2,88,0,7,2,282
1202193,C1COCCN1C2=C(C=C(C=C2)NC(=O)C3=CC(=C(C=C3Cl)F)F)Cl,anil_di_alk_A(478),   ,   ,3,683,2,112,0,14,0,400
1203818,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC(=CC=C3)[N+](=O)[O-],anil_di_alk_A(478),   ,   ,2,497,2,91,0,7,0,287
1203819,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC=C(C=C3)[N+](=O)[O-],anil_di_alk_A(478),   ,   ,0,496,0,90,0,7,0,286
1203820,CC1=C(C=C(C=C1)C(=O)NC2=CC=C(C=C2)N3CCN(CC3)C(=O)C)[N+](=O)[O-],anil_di_alk_A(478),   ,   ,1,492,0,87,0,7,1,286
1203822,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC(=C(C=C3)Cl)[N+](=O)[O-],anil_di_alk_A(478),   ,   ,3,489,2,86,0,7,0,285
1203823,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=C(C=C(C=C3)[N+](=O)[O-])Cl,anil_di_alk_A(478),   ,   ,0,496,0,89,0,7,0,287
1215321,CC1=C(C(=CC=C1)C)NC2=NC(=S)N(C2(C)C)C3=CC=C(C=C3)N(C)C,anil_di_alk_A(478),   ,   ,4,652,1,106,0,14,3,381
1225055,CS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC=C(O3)Br,anil_di_alk_A(478),   ,   ,11,785,10,127,0,25,1,466
1226715,CCN(CC)C1=CC=C(C=C1)NC(=S)NC(=O)C2CCC2,anil_di_alk_A(478),   ,   ,14,493,5,92,0,7,3,280
1227109,CC(C)(C)C1=CC=C(C=C1)C(=O)NC(=S)NC2=CC=C(C=C2)N3CCOCC3,anil_di_alk_A(478),   ,   ,13,644,8,109,0,13,3,371
1227876,C1CCN(C1)C2=C(C=C(C=C2)NC(=O)C3=CC=C(O3)Br)Cl,anil_di_alk_A(478),   ,   ,24,787,10,126,3,28,10,462
1241125,CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NC3=CC=C(C=C3)N4CCOCC4,anil_di_alk_A(478),   ,   ,0,668,0,108,0,14,0,386
1241229,CCOC1=CC(=C(C=C1N2CCOCC2)OCC)NC(=O)C3=CC=C(C=C3)C,anil_di_alk_A(478),   ,   ,4,628,0,103,1,13,3,377
1241231,CCOC1=CC(=C(C=C1N2CCOCC2)OCC)NC(=O)C(C)(C)C,anil_di_alk_A(478),   ,   ,1,626,0,106,0,11,0,369
1241232,CCOC1=CC(=C(C=C1N2CCOCC2)OCC)NC(=O)C3=CC=CC=C3,anil_di_alk_A(478),   ,   ,2,639,0,108,0,11,0,376
1242287,CN(C)C1=CC=C(C=C1)NC(=O)CSC2=NN=C(N2CC3=CC=CO3)C4=CC=CS4,anil_di_alk_A(478),   ,   ,8,662,0,111,0,14,3,386
1243523,C1COCCN1C2=C(C=C(C=C2)NC(=O)CSC3=NN=NN3C4=CC=C(C=C4)F)Cl,anil_di_alk_A(478),   ,   ,2,675,0,111,0,14,1,399
1245566,CC1=CC(=CC(=C1Cl)C)OCC(=O)NC2=CC=C(C=C2)N3CCCC3,anil_di_alk_A(478),   ,   ,11,690,0,112,0,14,10,406
1249831,CCC(=O)NC1=CC(=C(C=C1)N2CCCCC2)C(=O)NC3=CC=CC=C3C,anil_di_alk_A(478),   ,   ,5,679,1,113,0,14,0,396
1251070,C1COCCN1C2=C(C=C(C=C2)NC(=O)CSC3=NN=NN3C4=CC=CC5=CC=CC=C54)Cl,anil_di_alk_A(478),   ,   ,6,692,1,117,0,14,3,402
1252109,CSC1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C(C=C2)N3CCOCC3)Cl,anil_di_alk_A(478),   ,   ,7,801,0,131,0,23,0,469
1253909,C1CN(CCN1C2=CC=C(C=C2)NC(=O)C3=CC=C(O3)Br)C(=O)C4=CC=CC=C4,anil_di_alk_A(478),   ,   ,7,775,1,124,0,25,3,462
1253915,COC1=C(C=C(C=C1)C(=O)NC2=CC=C(C=C2)N3CCN(CC3)C(=O)C4=CC=CC=C4)[N+](=O)[O-],anil_di_alk_A(478),   ,   ,2,615,0,104,0,11,1,366
1254035,C1CN(CCN1C2=CC=C(C=C2)NC(=O)COC3=CC=CC=C3[N+](=O)[O-])C(=O)C4=CC=CS4,anil_di_alk_A(478),   ,   ,25,629,5,105,0,11,11,372
1254165,COC1=CC=CC=C1C(=O)NC(=S)NC2=CC=C(C=C2)N3CCN(CC3)C(=O)C4=CC=CO4,anil_di_alk_A(478),   ,   ,7,480,3,84,0,7,2,278
1254451,C1CN(CCN1C2=CC=C(C=C2)NC(=O)C3=CN=CC=C3)C(=O)C4=CC=C(C=C4)Cl,anil_di_alk_A(478),   ,   ,6,770,0,123,0,25,3,458
1254467,C1CN(CCN1C2=CC=C(C=C2)NC(=O)C3=CC=C(O3)Br)C(=O)C4=CC=C(C=C4)Cl,anil_di_alk_A(478),   ,   ,9,768,2,120,0,25,1,458
1254472,C1CN(CCN1C2=CC=C(C=C2)NC(=O)C3=CC=C(O3)[N+](=O)[O-])C(=O)C4=CC=C(C=C4)Cl,anil_di_alk_A(478),   ,   ,45,573,14,107,0,10,12,325
1254489,C1CN(CCN1C2=CC=C(C=C2)NC(=O)C3=CC4=C(C=C3)OCCO4)C(=O)C5=CC=C(C=C5)Cl,anil_di_alk_A(478),   ,   ,40,699,23,130,0,14,7,401
1254565,CC1=CC=CC=C1C(=O)N2CCN(CC2)C3=C(C=C(C=C3)NC(=O)C4=CC=CO4)Cl,anil_di_alk_A(478),   ,   ,19,782,8,122,0,25,5,474
1254568,C1CN(CCN1C2=CC=C(C=C2)NC(=O)C3=CC4=CC=CC=C4O3)C(=O)C5=CC=C(C=C5)Cl,anil_di_alk_A(478),   ,   ,9,677,6,116,0,14,1,391
1254581,C1CN(CCN1C2=CC=C(C=C2)NC(=O)C3=CC=CS3)C(=O)C4=CC=C(C=C4)Cl,anil_di_alk_A(478),   ,   ,3,483,0,84,0,7,2,280
1254602,CCC(=O)NC(=S)NC1=CC=C(C=C1)N2CCN(CC2)C(=O)C3=CC=C(C=C3)Cl,anil_di_alk_A(478),   ,   ,5,622,1,103,0,11,2,366
1254872,C1CN(CCN1C2=C(C=C(C=C2)NC(=O)C3=CC4=CC=CC=C4O3)Cl)C(=O)C5=CC=CO5,anil_di_alk_A(478),   ,   ,88,807,26,141,2,24,37,471
1255242,CC1=CC(=CC(=C1Cl)C)OCC(=O)NC2=CC=C(C=C2)N3CCN(CC3)C(=O)C4=CC=CO4,anil_di_alk_A(478),   ,   ,21,689,2,105,0,14,14,412
1255423,COC1=CC(=CC(=C1)C(=O)NC2=CC=C(C=C2)N3CCN(CC3)C(=O)C4=CC=CS4)OC,anil_di_alk_A(478),   ,   ,20,503,10,93,0,7,4,282
1255663,COC1=C(C(=C(C(=C1F)F)C(=O)NC2=CC=C(C=C2)N3CCN(CC3)CC4=CC=CC=C4)F)F,anil_di_alk_A(478),   ,   ,17,682,2,113,0,14,4,399
1255741,C1CN(CCN1C2=CC=C(C=C2)NC(=O)C(C3=CC=CC=C3)C4=CC=CC=C4)C(=O)C5=CC=CO5,anil_di_alk_A(478),   ,   ,10,683,0,114,0,14,3,399
1255859,CC(C)C(=O)N1CCN(CC1)C2=C(C=C(C=C2)NC(=O)C3=CC4=C(C=C3)OCCO4)Cl,anil_di_alk_A(478),   ,   ,39,677,19,116,0,14,10,392
1255906,CC1=CC=CC=C1C(=O)N2CCN(CC2)C3=CC=C(C=C3)NC(=S)NC(=O)C4=CC=CS4,anil_di_alk_A(478),   ,   ,16,650,7,112,0,11,7,385
1256029,CC1=C(C(=CC=C1)OCC(=O)NC2=CC=C(C=C2)N3CCN(CC3)C(=O)C4=CC=CC=C4)C,anil_di_alk_A(478),   ,   ,5,495,1,88,0,7,3,285
